date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:18:20	714172/714172	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Aug%202022%2010:24:10%20GMT	https://netsoltech.com/images/article.jpg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/article.jpg	(from https://netsoltech.com/css/style.css)
03:18:21	874/874	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:23:44%20GMT	https://netsoltech.com/images/aboutCounterCircle.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/aboutCounterCircle.svg	(from https://netsoltech.com/css/style.css)
03:18:22	806/806	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:26:47%20GMT	https://netsoltech.com/images/listArrow.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/listArrow.svg	(from https://netsoltech.com/css/style.css)
03:18:22	806/806	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:26:47%20GMT	https://netsoltech.com/images/listArrowWhite.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/listArrowWhite.svg	(from https://netsoltech.com/css/style.css)
03:18:23	3275/3275	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:45%20GMT	https://netsoltech.com/images/socialIcons.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/socialIcons.svg	(from https://netsoltech.com/css/style.css)
03:18:24	658974/658974	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Aug%202022%2010:27:34%20GMT	https://netsoltech.com/images/product1.jpg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/product1.jpg	(from https://netsoltech.com/css/style.css)
03:18:25	1021883/1021883	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Aug%202022%2010:27:32%20GMT	https://netsoltech.com/images/product2.png	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/product2.png	(from https://netsoltech.com/css/style.css)
03:18:25	625197/625197	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Aug%202022%2010:23:38%20GMT	https://netsoltech.com/images/about-bg.jpg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/about-bg.jpg	(from https://netsoltech.com/css/style.css)
03:18:25	13372/13372	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:23:43%20GMT	https://netsoltech.com/images/aboutBoxPattern.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/aboutBoxPattern.svg	(from https://netsoltech.com/css/style.css)
03:18:25	11383/11383	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:23:52%20GMT	https://netsoltech.com/images/aboutMainBoxBg.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/aboutMainBoxBg.svg	(from https://netsoltech.com/css/style.css)
